,Est,Edad,Impuso,Extro,Cant_arg,connectors_total,politeness_total,rud_total,powerless_total,Impuso_n,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,pred_k
0,1,23,0,0.14735197344095932,-0.08055135200740199,-0.4004382263344334,0.043511174016496325,-0.35208885705077086,-1.2924538746101768,1,-0.787303778244922,-0.56461053831703,0.957000121449793,0.303207451090682,-0.171352503709662,-0.0952403822899241,0
1,2,35,1,0.6724608242487413,0.37487359972675527,1.076446844985036,1.3227396901014896,1.0303113028440822,2.040716644121332,2,2.41358044936065,1.33782973138822,-0.857722331868752,0.602793175609644,0.0023950063675187,0.113867261343418,1
2,3,19,0,-0.2464796646648772,-0.08055135200740199,-0.03875208641946126,0.043511174016496325,-0.13090483146759435,-0.18139703503300725,1,-0.160587518333949,-0.270873199214562,-0.0518715080772616,0.0537291172893701,-0.0709098135045414,-0.104452558352917,0
3,4,19,1,-0.7715885154726593,0.5266819169714744,0.44349610013383484,-0.8093078367068325,-0.35208885705077086,-0.18139703503300725,2,-0.103582591485051,-0.677570824256509,-0.157129318650574,-0.94616671276807,0.494385865038317,-0.497103673310838,3
4,5,22,1,1.328846887758469,-0.6877846209862783,-0.9429674362068915,-1.0225125893876648,-1.0709369401960944,-0.18139703503300725,2,-1.82311412916681,1.22634431024264,0.553300549766665,0.0317200932051719,0.461463087193292,0.0751717540679832,0
5,6,19,0,-0.7715885154726593,-0.6877846209862783,-0.9731079478664725,0.8963301847398252,-0.9603449274045063,-0.45916124492729965,1,-1.07948514764211,-0.874768603246036,-0.504058844922664,1.31115178007126,-0.194444258472222,-0.101605395522969,0
6,7,20,0,-1.1654201535784958,-0.38416798649684014,-0.1894546447173663,-0.3828983313451681,-0.2414968442591826,1.4851882243327472,1,-0.125855512467355,0.0047543357622508,-1.93033434004031,-0.37572363564389,0.242785794796694,0.101153782180005,1
7,8,19,1,-2.3469150678960053,-0.5359763037415592,-0.5511407846323384,-0.5961030840260003,-0.2414968442591826,-1.0146896647158845,2,-1.21478199330389,-2.13834521847221,-0.827292915563342,-0.645778150898644,-0.623988977716056,-0.0571929154684437,3
8,9,24,0,1.1975696750565235,2.0447650894186653,2.5834724279640864,-0.16969357866433588,0.9750152964482882,2.040716644121332,1,3.31367466854177,1.6349930238053,0.0619453426253325,-1.25739958694241,1.30553679077916,-0.700416367949528,2
9,10,18,0,-0.9028657281746048,2.6519983583975417,1.076446844985036,-0.3828983313451681,1.2514953284272587,-0.45916124492729965,1,2.10738857460271,-1.57956982984667,0.813128166939406,-1.51731605221637,0.984674040443255,0.248081696956197,3
