"Est","Edad","Impuso","Extro","Cant_arg","connectors_total","politeness_total","rud_total","powerless_total","Impuso_n","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6"
13,18,1,31,3,23,4,15,5,2,-0.866057339724871,0.385267019366933,-0.245312340603766,0.0199456814789582,-0.164530561317995,0.15509049598368
14,19,0,13,4,8,1,6,0,1,-1.97626428408994,-2.15153507516577,-0.623503400093876,-0.703557353893336,-0.256911020033847,-0.0769100878190917
15,20,0,30,4,33,7,10,2,1,-0.761634698804474,-0.261672597350428,0.313479514137057,0.530324881359213,-0.319109554590107,-0.37874828544423
16,18,1,37,9,60,7,33,11,2,1.40007655521607,1.57471150181676,-0.585413403253492,-0.0215389414144564,0.265141222165704,0.292465776238613
17,18,0,26,6,71,3,29,4,1,0.318356950392816,-0.219775627448782,-0.107536151527249,-1.01247512939488,-0.608466928895279,-0.479231459818242
18,18,0,31,7,57,10,19,4,1,0.507527667876555,-0.0482325729222785,0.19867141242089,0.692321277370098,-0.294007031507802,-0.508814271404952
19,18,1,39,6,26,4,16,3,2,-0.74102778912131,0.791896690980273,0.929163692361965,0.113667950073036,0.0818729484799516,0.173585125209091
20,19,0,30,10,34,3,20,2,1,-0.403446926287264,-0.397748596795351,0.667390137062193,-0.500555349197815,0.210131887663816,0.119992783144942
21,22,0,25,3,18,6,7,6,1,-0.91705451163334,-0.176617909391953,-0.983048516114727,0.427197242516385,0.0257895845027638,-0.0269715038529175
22,19,1,38,2,23,1,12,1,2,-1.60704669164363,0.692568486510524,1.06929946710508,-0.305419205913699,-0.319739777688913,-0.037039915441035
23,19,0,17,6,29,5,20,10,1,0.0630480152393887,-0.502592168400964,-2.18173589830372,-0.321629647193563,0.181454242616513,0.331152675121903
24,19,1,22,8,58,13,32,4,2,1.21885482794149,-1.11818180389404,-0.378838009301508,0.798965530560393,-0.784729727014377,-0.178274053558658
25,26,0,33,10,22,11,11,3,1,-0.0546846345738852,-0.272295339988471,0.573706526371865,1.32665283496381,0.389645317735144,0.0663396457547169
26,20,0,34,15,33,2,17,0,1,-0.408409656440141,-0.472911962185064,1.59588766411447,-0.624067293715574,0.802851833832904,0.124978660228384
27,19,0,30,4,24,4,9,1,1,-1.27896159550105,-0.324656505957965,0.511642623944768,0.0682497730338791,-0.21988536460968,-0.209396771973019
28,20,1,37,4,56,5,16,12,2,0.415904613479661,2.00613358196654,-1.12174106646988,0.00905385321808214,0.352848738473184,-0.238874428088701
29,19,0,27,3,28,10,14,11,1,0.202896895233466,0.622557666620253,-1.81762652358779,1.01552694360957,0.0655621140658347,0.141912817701694
30,20,1,31,5,6,1,13,4,2,-1.39976094325355,0.202737844272434,0.0215376689145622,-0.388447924199547,0.237868314322277,0.5227039226182
31,24,0,34,4,65,8,33,5,1,0.729969287403188,0.639297898917862,0.202106340295546,0.141392004572657,-0.897838579775835,-0.211144415219698
32,20,0,19,3,7,0,5,0,1,-2.17312537503152,-1.45772891642973,-0.210081386342098,-0.703441660239942,-0.22127309154989,-0.0529840476890578
33,19,0,40,2,42,3,27,0,1,-0.786467135904835,0.748385635077292,1.54998815264793,-0.302744543347931,-0.980072359508881,-0.0209127534100369
34,19,1,40,4,32,8,10,6,2,-0.354136787083152,1.28675167059746,0.250639397441251,0.964510392476141,0.114032934087284,-0.132918954801749
35,19,0,28,4,16,9,10,3,1,-0.771929464787541,-0.45030851617627,-0.0874780496557512,1.01333374527453,-0.23793442116064,0.0138222202841042
36,20,1,41,6,10,3,10,1,2,-1.41316852662962,0.699460490211181,1.4332094390298,0.220639272737512,0.243587213348848,0.290493066906012
37,20,0,28,5,22,3,13,3,1,-1.05490804540138,-0.265580667367886,0.0165733478471691,-0.232833167972141,-0.04108435408992,0.0684531574979361
38,24,0,39,2,4,1,1,4,1,-1.97150810759728,1.15521853604519,0.422425395798533,0.0720978494551927,0.360879830659761,0.159049186232608
39,24,1,35,2,24,4,3,5,2,-1.25584387768676,0.843284302383903,-0.0570208662859114,0.320657577193814,0.116477056988145,-0.26136466077776
40,25,0,37,3,10,2,3,3,1,-1.74627479437537,0.746462985685069,0.538573526416618,0.105717916465342,0.242248229485521,0.044946932492605
41,19,0,29,2,18,1,3,3,1,-1.78403225539641,0.0346363370649829,-0.10223133862783,-0.328617296184716,0.00675554046196658,-0.213398802426948
42,18,0,31,3,16,3,7,6,1,-1.20951082853721,0.537919798289456,-0.510532184466516,0.027447855172964,0.220338251867871,0.10006535785
43,18,1,31,3,18,0,14,4,2,-1.40897135574658,0.370293528756093,-0.0349899498161589,-0.66628706569334,-0.0539513774681585,0.243767715590166
44,31,0,22,11,56,9,43,5,1,1.43310041114733,-0.981672308246063,-0.364867258584419,-0.166375078315049,-0.530982727030188,0.3913513773695
45,28,1,32,8,61,8,23,11,2,1.14847144451335,1.07569102714415,-1.08161253845098,0.21834360868254,0.331278441977515,-0.138301053456083
46,19,0,29,7,22,5,20,2,1,-0.622772821902094,-0.467584292046053,0.424371313788328,0.0153356006832902,-0.148352734882798,0.294903632582009
47,20,1,18,9,29,2,17,4,2,-0.570372911975284,-1.27953603286632,-0.736678313285684,-0.862616288781631,0.241114356413552,0.108675451936676
48,19,0,41,13,86,14,51,10,1,3.13571693836088,1.4926618908582,0.23599633389323,0.778995826019488,-0.202799320579797,0.29982936949503
49,19,1,41,13,133,10,80,8,2,4.17876757034882,1.50593696902251,0.938604507371809,-0.876248537559967,-1.33010957393832,0.152486387132183
